Series,Quarter,Week,Post Date (America/Vancouver),Post Time,Asset Filename,Post Theme,Primary Objective,Primary Persona,CTA URL (with UTM),Caption,First Comment,Hashtags,Alt Text,Platforms (FB/IG/LI),Status,Notes
"AI Easier Than [x]",Q1 2026,1,2026-01-05,10:00,"1.png","AI Easier Than Your CRM","Demystify AI vs CRM complexity","SMB owners, sales managers","https://www.kaizenstrategic.ai/?utm_source=social&utm_medium=organic&utm_campaign=series1_q1_2026&utm_content=week1",,,"#AI #Automation #SmallBusiness #TerraceBC #ProcessAutomation","Wireframe cube with headline 'AI Easier Than Your CRM'","FB,IG,LI","Planned",
"AI Easier Than [x]",Q1 2026,2,2026-01-12,10:00,"2.png","AI Easier Than Wasting Time","Time-savings positioning","Owners, solo operators","https://www.kaizenstrategic.ai/?utm_source=social&utm_medium=organic&utm_campaign=series1_q1_2026&utm_content=week2",,,"#AI #TimeSaving #Automation #Kaizen #TerraceBC","Spiral ring graphic; headline 'AI Easier Than Wasting Time'","FB,IG,LI","Planned",
"AI Easier Than [x]",Q1 2026,3,2026-01-19,10:00,"3.png","AI Easier Than Missing Deadlines","Reliability + reminders automation","Project-based businesses","https://www.kaizenstrategic.ai/?utm_source=social&utm_medium=organic&utm_campaign=series1_q1_2026&utm_content=week3",,,"#Automation #Productivity #Deadlines #TerraceBC","Grid sphere graphic; headline 'AI Easier Than Missing Deadlines'","FB,IG,LI","Planned",
"AI Easier Than [x]",Q1 2026,4,2026-01-26,10:00,"4.png","AI Easier Than Manual Bookkeeping","Finance workflow automation awareness","Contractors, consultants, trades","https://www.kaizenstrategic.ai/?utm_source=social&utm_medium=organic&utm_campaign=series1_q1_2026&utm_content=week4",,,"#Bookkeeping #Automation #AI #SmallBusiness","Dual funnel wireframe; headline 'AI Easier Than Manual Bookkeeping'","FB,IG,LI","Planned",
"AI Easier Than [x]",Q1 2026,5,2026-02-02,10:00,"5.png","AI Easier Than Spreadsheets","Reduce spreadsheet dependency","Ops managers, owners","https://www.kaizenstrategic.ai/?utm_source=social&utm_medium=organic&utm_campaign=series1_q1_2026&utm_content=week5",,,"#Spreadsheets #AI #Automation #Ops","Knot torus wireframe; headline 'AI Easier Than Spreadsheets'","FB,IG,LI","Planned",
"AI Easier Than [x]",Q1 2026,6,2026-02-09,10:00,"6.png","AI Easier Than Document Filing","Org + retrieval automation","Paper-heavy SMBs","https://www.kaizenstrategic.ai/?utm_source=social&utm_medium=organic&utm_campaign=series1_q1_2026&utm_content=week6",,,"#DocumentManagement #Automation #AI","Warped grid panel; headline 'AI Easier Than Document Filing'","FB,IG,LI","Planned",
"AI Easier Than [x]",Q1 2026,7,2026-02-16,10:00,"7.png","AI Easier Than Chasing Invoices","AR follow-up automation","Owners, bookkeepers","https://www.kaizenstrategic.ai/?utm_source=social&utm_medium=organic&utm_campaign=series1_q1_2026&utm_content=week7",,,"#Invoices #Cashflow #Automation #AI","Warped grid panel; headline 'AI Easier Than Chasing Invoices'","FB,IG,LI","Planned",
"AI Easier Than [x]",Q1 2026,8,2026-02-23,10:00,"8.png","AI Easier Than Timesheets","Time tracking automation","Project teams, trades","https://www.kaizenstrategic.ai/?utm_source=social&utm_medium=organic&utm_campaign=series1_q1_2026&utm_content=week8",,,"#Timesheets #AI #Productivity #Construction","Warped grid panel; headline 'AI Easier Than Timesheets'","FB,IG,LI","Planned",
"AI Easier Than [x]",Q1 2026,9,2026-03-02,10:00,"9.png","AI Easier Than Inventory Counts","Stock tracking automation","Retail, trades, warehouses","https://www.kaizenstrategic.ai/?utm_source=social&utm_medium=organic&utm_campaign=series1_q1_2026&utm_content=week9",,,"#Inventory #AI #Operations #Retail","Warped grid panel; headline 'AI Easier Than Inventory Counts'","FB,IG,LI","Planned",
"AI Easier Than [x]",Q1 2026,10,2026-03-09,10:00,"10.png","AI Easier Than Receipt Organization","Expense capture automation","Owners, admins","https://www.kaizenstrategic.ai/?utm_source=social&utm_medium=organic&utm_campaign=series1_q1_2026&utm_content=week10",,,"#Receipts #Bookkeeping #AI #Automation","Three torus shapes; headline 'AI Easier Than Receipt Organization'","FB,IG,LI","Planned",
"AI Easier Than [x]",Q1 2026,11,2026-03-16,10:00,"11.png","AI Easier Than Writing Every Email","Email templating + auto-replies","Owners, sales, CS","https://www.kaizenstrategic.ai/?utm_source=social&utm_medium=organic&utm_campaign=series1_q1_2026&utm_content=week11",,,"#EmailAutomation #AI #SmallBusiness","Three torus shapes; headline 'AI Easier Than Writing Every Email'","FB,IG,LI","Planned",
"AI Easier Than [x]",Q1 2026,12,2026-03-23,10:00,"12.png","AI Easier Than Quote Generation","Estimate/quote automation awareness","Construction, HVAC, services","https://www.kaizenstrategic.ai/?utm_source=social&utm_medium=organic&utm_campaign=series1_q1_2026&utm_content=week12",,,"#Quotes #Sales #AI #Automation","Three torus shapes; headline 'AI Easier Than Quote Generation'","FB,IG,LI","Planned",
